Cave,Drawer,Specimen_number,Cranial_length_cm,Cranial_height_cm,Maximum_maxillary_width_cm,Orbital_width_cm,Orbit_average_cm
Guloloch,"Cabinet 3, Drawer 5",GL77/238,37.3,10.5,10.2,15.2,6.3
Guloloch,"Cabinet 3, Drawer 5",78/1,37.9,9.5,9.4,13.5,6.95
Guloloch,"Cabinet 3, Drawer 5",GL77/237,NA,9.8,NA,15.1,5.9
Guloloch,"Cabinet 3, Drawer 8",N-2,35,8.8,9,12.4,7.55
Bärenkammer,"Cabinet 3, Drawer 3",G/F1/1971/2,42.3,11.5,10.5,19.5,6.95
Bärenkammer,"Cabinet 3, Drawer 2",G/F1/1971/22,37,10,10.7,15.5,7.15
Bärenkammer,"Cabinet 2, Drawer 14",G/F1/1971/4,33.6,9,9.7,12.2,5.7
Bärenkammer,"Cabinet 2, Drawer 14",Mor. 2,37.2,9.3,8.8,13.2,6.45
Bärenkammer,"Cabinet 2, Drawer 18",G/F1/1971/19,38.6,10.5,10,14.7,6.55
Bärenkammer,"Cabinet 2, Drawer 18",G/F1/1971/21,38.4,11.3,10.2,14.7,7.2
Bärenkammer,"Cabinet 2, Drawer 17",G/F1/1971/13 (2),37.6,9.8,10,14.3,6.8
Bärenkammer,"Cabinet 2, Drawer 17",G/F1/1971/15,34.5,10.5,8.2,14.7,5.55
Bärenkammer,"Cabinet 2, Drawer 17",G/F1/1971/17,NA,9.8,NA,17.1,6.3
Bärenkammer,"Cabinet 2, Drawer 16",G/F1/1971/12,36.5,10,9.8,12.7,6.4
Bärenkammer,"Cabinet 3, Drawer 1",G/F1/1971/24,34.7,9.3,9.8,13.2,6.5
Bärenkammer,"Cabinet 3, Drawer 16",Sch72/89,37,9.5,9.8,14.7,6.35
Schacht & Spalte,"Cabinet 2, Drawer 3",Sch72/G,37.9,10.5,9.8,14.7,6.6
Schacht & Spalte,"Cabinet 2, Drawer 2",Sch72/3,33.3,9,9.3,12.2,6.35
Schacht & Spalte,"Cabinet 2, Drawer 9",Sch72/88,39.8,9.5,10.2,15.4,6.75
Schacht & Spalte,"Cabinet 1, Drawer 10",Sp72/67,38.7,10.6,10.1,15.8,7.7
Schacht & Spalte,"Cabinet 1, Drawer 10",Sp72/65,32.9,8.5,9.3,11.5,5.95
Schacht & Spalte,"Cabinet 1, Drawer 10",Sp72/66,36,10,9.6,13.8,7.25
Schacht & Spalte,"Cabinet 1, Drawer 8",Sp72/58,38.8,9.9,10.4,18.2,7.9
Schacht & Spalte,"Cabinet 1, Drawer 8",Sp72/59,39.2,9.6,9.6,NA,NA
Schacht & Spalte,"Cabinet 1, Drawer 7",Sp72/57,38.6,9.9,9.7,12.2,6.15
Schacht & Spalte,"Cabinet 1, Drawer 7",Sp72/53,36.4,9.6,9.6,13.3,7
Schacht & Spalte,"Cabinet 1, Drawer 7",Sp72/56,37.9,10.7,9.6,12.4,7.75
Schacht & Spalte,"Cabinet 1, Drawer 9",Sp72/62,38.3,11.2,10.7,14.4,7.25
Schacht & Spalte,"Cabinet 1, Drawer 9",Sp72/61,37.5,9.6,9.5,NA,6.4
Schacht & Spalte,"Cabinet 1, Drawer 1",Sp72/4,39.3,10.5,10,15.8,6.55
Schacht & Spalte,"Cabinet 1, Drawer 4",Sp72/47,33.4,9,9.3,12.8,7.25
Schacht & Spalte,"Cabinet 1, Drawer 4",Sp72/68,33.5,9.8,9.1,12.7,7.15
Schacht & Spalte,"Cabinet 1, Drawer 4",Sp72/45,37.4,10.2,8.6,14.4,7.35
Schacht & Spalte,"Cabinet 1, Drawer 5",Sp72/48,41.7,12.1,10.5,17.5,6.9
Schacht & Spalte,"Cabinet 1, Drawer 6",Sp72/49,36,9.7,9.6,15.1,6.3
Schacht & Spalte,"Cabinet 1, Drawer 6",Sp72/52,32.7,8.6,8.8,12,5.7
Schacht & Spalte,"Cabinet 1, Drawer 6",Sp72/51,29.6,5.1,8.8,10.5,5.35
Schacht & Spalte,"Cabinet 1, Drawer 3",Sp72/13,26.4,8,7.2,12.1,NA
Schacht & Spalte,"Cabinet 1, Drawer 16",Sp72/282,NA,13.3,11,15.8,7.3
Schacht & Spalte,"Cabinet 1, Drawer 17",Sp72/296,38,10.2,10.4,17.6,6.35
Schacht & Spalte,"Cabinet 1, Drawer 17",Sp72,34.5,10.1,NA,18.2,7.85
Schacht & Spalte,"Cabinet 2, Drawer 4",Sch 72/8,NA,9.1,NA,14.8,7.5
Schacht & Spalte,"Cabinet 2, Drawer 6",Sch 72/31,36,10.2,9.4,NA,NA
Schacht & Spalte,"Cabinet 2, Drawer 8",Sch 72/41,NA,8.6,NA,14,NA
Schacht & Spalte,"Cabinet 2, Drawer 15",G/F1/1971/9,40.7,10.1,NA,16.9,NA
Schacht & Spalte,"Cabinet 2, Drawer 15",G/F1/1971/7,31.6,8.8,7.8,15.7,6.9
Schacht & Spalte,"Cabinet 2, Drawer 15",G/F1/1971/8,38.8,9.8,9.8,14.1,NA
Neue Spalte,"Cabinet 3, Drawer 8",NS76/1,28,9.3,9.5,12.6,NA
Neue Spalte,"Cabinet 3, Drawer 12",LG-7 (82),34.6,12.2,11.3,17.3,6.9